,mov10
0,88698.1372
1,83746.9606
2,85430.5481
3,86979.6231
4,91052.0426
5,95141.2798
6,92575.7861
7,89832.9796
8,85006.9416
9,86200.4097
10,86795.5652
11,90617.6805
12,95240.6324
13,95133.1354
14,95276.5079
15,90126.7607
16,90138.3172
17,89827.7878
18,96057.9358
19,99343.46535
20,98197.77635
21,94564.67755
22,89244.35705
23,89494.61555
24,88872.80355
25,94767.71105
26,100824.5931
27,100278.9771
28,96177.12115
29,94937.5405
30,96646.8695
31,99780.0525
32,103433.0021
33,102069.2191
34,99699.8321
35,99141.0731
36,94130.6175
37,95337.5168
38,95879.0287
39,97765.2812
40,96881.3137
41,95716.9997
42,95104.5852
43,97629.5332
44,100453.0692
45,102500.4002
46,107424.8348
47,107125.5375
48,118671.8225
49,114657.543
50,117068.4825
51,120502.952
52,129862.2075
53,142255.8885
54,138915.1474
55,133396.5419
56,128243.2109
57,127644.4349
58,115900.9089
59,118127.2259
60,119540.7787
61,112987.6117
62,100446.9087
63,88553.4558
64,95423.7699
65,93716.7549
66,95388.7524
67,97681.6069
68,94817.4999
69,91569.5769
70,86441.9896
71,88939.0171
72,90885.0781
73,91533.148
74,89013.0565
75,87842.927
76,84728.9225
77,82872.4875
78,83822.1905
79,86026.3002
80,90288.5087
81,93171.3912
82,91852.5561
83,92451.628
84,86181.6795
85,88877.9795
86,91367.9055
87,92332.476
88,97061.27
89,94620.7333
90,90484.4623
91,85499.7663
92,86567.5839
93,84693.5845
94,89852.214
95,92377.762
96,91686.294
97,91580.015
98,91679.242
99,98396.3845
100,102784.7515
101,106865.6118
102,109540.0168
103,106621.4678
104,102820.3153
105,99986.3998
106,100444.0308
107,101208.8513
108,99441.7638
109,97751.5908
110,95641.2463
111,96853.4625
112,97305.996
113,109054.415
114,144590.8585
115,189334.786
116,217382.0185
117,249499.5115
118,251516.762
119,246409.1015
120,241983.1455
121,236878.4745
122,232319.879
123,221545.73
124,184426.9455
125,137684.8015
126,109509.159
127,74009.6235
128,67986.7845
129,72082.7575
130,79069.70975
131,80120.81275
132,81034.92205
133,82109.92905
134,85565.22855
135,89194.98655
136,95470.29505
137,101457.3986
138,101601.4841
139,98633.62655
140,95111.0553
141,95888.5463
